window_months,window_start,window_end,n,alpha,beta,corr,r2,rmse,latest_adp_initial,latest_payems_initial,latest_fitted,latest_residual
24,2020-03-01,2022-02-01,24,114.31488979945966,2.955603236165632,0.9436055925936927,0.8903915143740936,1449.0442725151925,375.0,678.0,1222.6661033615717,-544.6661033615717
24,2020-04-01,2022-03-01,24,55.214511248440616,2.9501904610591496,0.9429326411415018,0.8891219657300882,1457.2731880860033,425.0,431.0,1309.0454571985792,-878.0454571985792
24,2020-05-01,2022-04-01,24,1267.5654145849658,-1.850744269724877,-0.4368626650590166,0.19084898812246653,907.004320822728,457.0,428.0,421.775283320697,6.224716679303015
24,2020-06-01,2022-05-01,24,1127.119527407117,-1.5071478282436708,-0.34984066562813243,0.12238849132713459,885.8038291663273,358.0,390.0,587.5606048958828,-197.56060489588276
24,2020-07-01,2022-06-01,24,640.4863686312924,-0.38840091500866,-0.19909234144639426,0.03963776042260758,401.8422899841757,380.0,372.0,492.8940209280016,-120.89402092800162
24,2020-08-01,2022-07-01,24,329.3231897491266,0.4602136956721024,0.2491332719964106,0.06206738721563765,308.9770957592938,268.0,528.0,452.66046018925005,75.33953981074995
24,2020-09-01,2022-08-01,24,248.54356197952754,0.5838606016655119,0.3952132610162182,0.15619352168307332,238.59346496079738,132.0,315.0,325.61316139937514,-10.613161399375144
24,2020-10-01,2022-09-01,24,200.4790588205484,0.6786284150550936,0.4580964093985927,0.209852320303883,228.6418309070282,208.0,263.0,341.63376915200786,-78.63376915200786
24,2020-11-01,2022-10-01,24,171.32677187574492,0.7207974474946667,0.4913313263042757,0.24140647220791878,221.73434656492893,239.0,261.0,343.59736182697026,-82.59736182697026
24,2020-12-01,2022-11-01,24,173.71640415070485,0.7157889153630709,0.48899189273098853,0.2391130711566346,221.6961271908749,127.0,263.0,264.6215964018148,-1.621596401814827
24,2021-01-01,2022-12-01,24,232.53229877789252,0.5557396119728542,0.3756187209752193,0.14108942354705967,214.43878053671605,235.0,223.0,363.1311075915132,-140.13110759151323
24,2021-02-01,2023-01-01,24,328.0757890271235,0.3149908460256326,0.1954003477314905,0.03818129589358721,214.92300399520906,106.0,517.0,361.46481870584057,155.53518129415943
24,2021-03-01,2023-02-01,24,319.981749488909,0.3347252459596621,0.20854892505499706,0.043492654141594644,215.43441739601374,242.0,311.0,400.9852590111472,-89.9852590111472
24,2021-04-01,2023-03-01,24,267.92210707808795,0.413987915937374,0.2960358560994273,0.08763722809652086,189.8786700808919,145.0,236.0,327.9503548890072,-91.9503548890072
24,2021-05-01,2023-04-01,24,269.98174919116616,0.402003798002532,0.28362224381970913,0.08044157718932654,190.99963518651498,296.0,253.0,388.9748733999156,-135.97487339991562
24,2021-06-01,2023-05-01,24,274.11869104134263,0.371477958800075,0.2583311762422215,0.06673499661868965,190.12749102655042,278.0,339.0,377.38956358776346,-38.38956358776346
24,2021-07-01,2023-06-01,24,261.15308407965205,0.32008178023653,0.2576732676553574,0.06639551286418954,169.4071088633326,497.0,209.0,420.23372885720744,-211.23372885720744
24,2021-08-01,2023-07-01,24,352.6981266618361,-0.055852076250370364,-0.05429706601537287,0.0029481713778777285,131.1150930636997,324.0,187.0,334.60205395671613,-147.60205395671613
24,2021-09-01,2023-08-01,24,303.8498241821272,0.09786043077758387,0.08244027986241884,0.006796399743793979,132.71575884929248,177.0,187.0,321.1711204297595,-134.17112042975953
24,2021-10-01,2023-09-01,24,308.8751523695013,0.10446194481772972,0.09589490483169884,0.009195832772680546,129.37916752170568,89.0,336.0,318.17226545827924,17.82773454172076
24,2021-11-01,2023-10-01,24,276.1787490681168,0.1676419768020863,0.16165488939354133,0.026132303264837953,127.11589873539806,113.0,150.0,295.12229244675257,-145.12229244675257
24,2021-12-01,2023-11-01,24,240.01531455041123,0.31394683947879126,0.291806213757022,0.0851508663872087,123.60595294232975,103.0,199.0,272.35183901672673,-73.35183901672673
24,2022-01-01,2023-12-01,24,225.43568452760448,0.3843770165855144,0.3577289511802681,0.12797000251253454,120.08631154268174,164.0,216.0,288.4735152476288,-72.47351524762882
24,2022-02-01,2024-01-01,24,242.01043255426117,0.31424287745042473,0.3024456070819724,0.09147334524318274,119.39592673231256,107.0,353.0,275.6344204414566,77.3655795585434
24,2022-03-01,2024-02-01,24,258.48427731229623,0.18509400080301086,0.21916036414065668,0.04803126521026524,98.07462769885775,140.0,275.0,284.39743742471774,-9.397437424717737
24,2022-04-01,2024-03-01,24,269.2428362814999,0.12146990673198062,0.14103153069397872,0.01988989264988672,95.87979946563404,184.0,303.0,291.5932991201843,11.406700879815673
24,2022-05-01,2024-04-01,24,279.66204995211183,0.02921449865778148,0.030971062857512104,0.0009592067345239874,95.66820386414301,192.0,175.0,285.27123369440585,-110.27123369440585
24,2022-06-01,2024-05-01,24,288.19853250380476,-0.035476680296307544,-0.037077595160133696,0.001374748062858866,93.17370255100768,152.0,272.0,282.806077098766,-10.806077098766025
24,2022-07-01,2024-06-01,24,295.3323851947036,-0.10946384847319748,-0.1075354606708297,0.011563875301687565,91.84507660366508,150.0,206.0,278.91280792372396,-72.91280792372396
24,2022-08-01,2024-07-01,24,286.7059704035335,-0.15876676021335767,-0.1766713991170437,0.031212783265973654,80.06284824977497,122.0,114.0,267.33642565750387,-153.33642565750387
24,2022-09-01,2024-08-01,24,266.2150877302595,-0.08892005023974767,-0.0975507920015616,0.009516157020131755,83.10319919724577,99.0,142.0,257.4120027565245,-115.41200275652449
24,2022-10-01,2024-09-01,24,265.94689695088266,-0.09080595090894739,-0.09999571993590649,0.009999144005500171,83.04224373065114,143.0,254.0,252.9616459709032,1.0383540290968085
24,2022-11-01,2024-10-01,24,266.75924421687535,-0.15170254893730367,-0.14516368955842712,0.021072496766215254,94.8837410884218,233.0,12.0,231.41255031448358,-219.41255031448358
24,2022-12-01,2024-11-01,24,263.91895475827147,-0.1438032260983807,-0.13713756446575107,0.018806711587597946,94.88626011759067,146.0,227.0,242.9236837479079,-15.923683747907887
24,2023-01-01,2024-12-01,24,264.76836371378204,-0.14464401691275877,-0.13822132247167032,0.01910513398581737,94.8928555671455,122.0,256.0,247.12179365042547,8.878206349574526
24,2023-02-01,2025-01-01,24,230.19180006101317,-0.038537423645606896,-0.04455706460067259,0.0019853320058285107,77.97338122395877,183.0,143.0,223.13945153386712,-80.13945153386712
24,2023-03-01,2025-02-01,24,221.79320850272512,-0.030225921639613434,-0.03598931092853667,0.0012952305011110221,77.03766195105288,77.0,151.0,219.46581253647489,-68.46581253647489
24,2023-04-01,2025-03-01,24,221.1613740630881,-0.028467493526640162,-0.03388065417649422,0.0011478987274273766,76.97542904409414,155.0,228.0,216.74891256645887,11.25108743354113
24,2023-05-01,2025-04-01,24,218.33119655247728,-0.03214075704373246,-0.03795156798299491,0.001440321512367948,76.94532747413861,62.0,177.0,216.33846961576586,-39.33846961576586
24,2023-06-01,2025-05-01,24,214.592310582061,-0.06343554865273518,-0.07874314401023084,0.0062004827286159525,73.43030291433718,37.0,139.0,212.24519528190982,-73.24519528190982
24,2023-07-01,2025-06-01,24,207.7455362829947,-0.042237849673518256,-0.038286149386929556,0.0014658292348783686,74.48754924066557,-33.0,147.0,209.1393853222208,-62.13938532222079
24,2023-08-01,2025-07-01,24,195.26059869425114,0.016135594617004978,0.011270529079888531,0.00012702482574078466,78.85165423825079,104.0,73.0,196.93870053441967,-123.93870053441967
24,2023-09-01,2025-08-01,24,168.67796666867378,0.1800306418053242,0.1164155250159073,0.01355257446472935,85.70920095084202,54.0,22.0,178.39962132616128,-156.39962132616128
24,2023-10-01,2025-09-01,24,147.91384605415215,0.2891853419878822,0.22405541977675664,0.050200831131338663,79.7406671356637,-32.0,119.0,138.6599151105399,-19.659915110539913
24,2023-11-01,2025-10-01,24,117.3380776967378,0.4737199317362501,0.3089710728244512,0.09546312384229227,94.90651348116567,42.0,-105.0,137.2343148296603,-242.2343148296603
24,2023-12-01,2025-11-01,24,109.58534689934616,0.5184565050236064,0.3626777431032241,0.13153514534244815,94.88966810537431,-32.0,64.0,92.99473873859075,-28.994738738590755
24,2024-01-01,2025-12-01,24,102.31813950001364,0.547943076797252,0.3769608476762365,0.14209948068078682,96.0974800261753,41.0,50.0,124.78380564870098,-74.78380564870098
24,2024-02-01,2026-01-01,24,97.14216322999232,0.525851918104183,0.4024448449444693,0.161961853222378,87.47240784038587,22.0,130.0,108.71090542828435,21.28909457171565
24,2024-03-01,2026-02-01,24,81.6691824318236,0.5454679009782298,0.3854032344248498,0.14853565310513572,95.23690849897764,63.0,-92.0,116.03366019345208,-208.03366019345208
24,2024-04-01,2026-03-01,24,89.065862793586,0.4364229634722438,0.3167289646659318,0.10031723705835305,92.50784409843526,62.0,178.0,116.12408652886512,61.87591347113488
24,2024-05-01,2026-04-01,24,88.63335745112926,0.429985305705381,0.2997969616838354,0.0898782182348592,92.60585132073098,109.0,115.0,135.5017557730158,-20.501755773015788
24,2024-06-01,2026-05-01,24,90.37975119282966,0.36708238487181294,0.26408182363714394,0.0697392095755196,89.46844916005668,122.0,172.0,135.16380214719084,36.836197852809164
24,2024-07-01,2026-06-01,24,89.06799934312296,0.3178429293471981,0.22631578984557105,0.051218836733424644,89.51276077573324,98.0,57.0,120.21660641914838,-63.21660641914838
36,2020-02-01,2023-01-01,36,-57.60890631450695,2.917302383914208,0.9399761770859603,0.8835552134891363,1222.0311857098357,106.0,517.0,251.6251463803991,265.3748536196009
36,2020-03-01,2023-02-01,36,-63.72415196825088,2.916132918319241,0.9398646940339948,0.8833456430916146,1223.1558278697487,242.0,311.0,641.9800142650054,-330.98001426500537
36,2020-04-01,2023-03-01,36,-85.080989978922,2.9223683401084006,0.9402596678087907,0.8840882429078976,1218.5508422572502,145.0,236.0,338.6624193367961,-102.66241933679612
36,2020-05-01,2023-04-01,36,1048.3345226487365,-1.6603522324162234,-0.3902304639373501,0.15227981498475962,786.9563712186714,296.0,253.0,556.8702618535344,-303.87026185353443
36,2020-06-01,2023-05-01,36,904.945842794066,-1.2532640677137106,-0.2940072032839544,0.08644023558285252,760.2372974353682,278.0,339.0,556.5384319696545,-217.53843196965454
