target_date,ADPMNUSNERSA_initial_change_k,CES9091000001_initial_change_k,CES9092000001_initial_change_k,CES9093000001_initial_change_k,PAYEMS_initial_change_k,USGOVT_initial_change_k,USPRIV_initial_change_k,ADPMNUSNERSA_initial_vintage_date,CES9091000001_initial_vintage_date,CES9092000001_initial_vintage_date,CES9093000001_initial_vintage_date,PAYEMS_initial_vintage_date,USGOVT_initial_vintage_date,USPRIV_initial_vintage_date,private_plus_government_initial_change_k,payems_minus_components_initial_k,ADPMNUSNERSA_latest_change_k,CES9091000001_latest_change_k,CES9092000001_latest_change_k,CES9093000001_latest_change_k,PAYEMS_latest_change_k,USGOVT_latest_change_k,USPRIV_latest_change_k,ADPMNUSNERSA_latest_vintage_date,CES9091000001_latest_vintage_date,CES9092000001_latest_vintage_date,CES9093000001_latest_vintage_date,PAYEMS_latest_vintage_date,USGOVT_latest_vintage_date,USPRIV_latest_vintage_date,private_plus_government_latest_change_k,payems_minus_components_latest_k
2023-11-01,103.0,0.0,17.0,32.0,199.0,49.0,150.0,2023-12-06,2023-12-08,2023-12-08,2023-12-08,2023-12-08,2023-12-08,2023-12-08,199.0,0.0,105.0,4.0,2.0,37.0,127.0,43.0,84.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,127.0,0.0
2023-12-01,164.0,7.0,8.0,37.0,216.0,52.0,164.0,2024-01-04,2024-01-05,2024-01-05,2024-01-05,2024-01-05,2024-01-05,2024-01-05,216.0,0.0,282.0,4.0,9.0,42.0,154.0,55.0,99.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,154.0,0.0
2024-01-01,107.0,11.0,10.0,15.0,353.0,36.0,317.0,2024-01-31,2024-02-02,2024-02-02,2024-02-02,2024-02-02,2024-02-02,2024-02-02,353.0,0.0,240.0,7.0,16.0,26.0,175.0,49.0,126.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,175.0,0.0
2024-02-01,140.0,9.0,5.0,38.0,275.0,52.0,223.0,2024-03-06,2024-03-08,2024-03-08,2024-03-08,2024-03-08,2024-03-08,2024-03-08,275.0,0.0,-107.0,9.0,17.0,45.0,206.0,71.0,135.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,206.0,0.0
2024-03-01,184.0,9.0,13.0,49.0,303.0,71.0,232.0,2024-04-03,2024-04-05,2024-04-05,2024-04-05,2024-04-05,2024-04-05,2024-04-05,303.0,0.0,-103.0,9.0,8.0,68.0,228.0,85.0,143.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,228.0,0.0
2024-04-01,192.0,2.0,6.0,0.0,175.0,8.0,167.0,2024-05-01,2024-05-03,2024-05-03,2024-05-03,2024-05-03,2024-05-03,2024-05-03,175.0,0.0,44.0,3.0,8.0,-10.0,64.0,1.0,63.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,64.0,0.0
2024-05-01,152.0,4.0,5.0,34.0,272.0,43.0,229.0,2024-06-05,2024-06-07,2024-06-07,2024-06-07,2024-06-07,2024-06-07,2024-06-07,272.0,0.0,201.0,9.0,-1.0,25.0,78.0,33.0,45.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,78.0,0.0
2024-06-01,150.0,5.0,26.0,39.0,206.0,70.0,136.0,2024-07-03,2024-07-05,2024-07-05,2024-07-05,2024-07-05,2024-07-05,2024-07-05,206.0,0.0,104.0,4.0,3.0,2.0,87.0,9.0,78.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,87.0,0.0
2024-07-01,122.0,1.0,7.0,9.0,114.0,17.0,97.0,2024-07-31,2024-08-02,2024-08-02,2024-08-02,2024-08-02,2024-08-02,2024-08-02,114.0,0.0,120.0,2.0,20.0,39.0,53.0,61.0,-8.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,53.0,0.0
2024-08-01,99.0,1.0,1.0,22.0,142.0,24.0,118.0,2024-09-05,2024-09-06,2024-09-06,2024-09-06,2024-09-06,2024-09-06,2024-09-06,142.0,0.0,46.0,4.0,25.0,7.0,9.0,36.0,-27.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,9.0,0.0
